tweet_id,prejudice_degree
52830,3.1
78883,3.9
78926,2.9
61844,2.2
78830,3.4
48393,2.8
11875,3.1
62245,2.8
62467,3.8
40664,2.6
8871,2.8
79419,4.0
79367,3.1
42260,3.3
85818,3.4
18171,2.1
65125,3.5
65155,3.3
65225,3.3
65659,3.2
65865,3.1
12243,3.2
74462,2.8
64929,3.3
79255,2.9
70785,3.3
17643,3.0
79086,3.2
5728,3.8
34518,4.0
36421,2.9
2766,3.3
107,2.8
32105,3.9
34336,3.6
31587,3.5
27447,3.3
18474,4.2
22602,3.9
7496,3.0
1194,4.4
27642,3.9
10546,3.2
2199,2.9
33721,3.2
2404,4.8
41290,3.4
41786,4.7
38334,3.4
28154,4.0
33096,3.5
51847,3.3
46099,2.5
79146,3.0
78995,3.4
78941,3.7
79475,3.0
73479,3.0
63866,3.3
78748,3.5
27814,2.6
79603,2.8
79397,3.9
38046,3.4
22993,3.3
80069,3.9
14861,3.3
42199,3.5
16381,4.6
63122,3.2
62979,3.1
63298,3.2
64481,4.5
60113,3.4
64957,2.4
70059,3.3
53193,2.9
928,2.9
33346,3.0
75063,2.6
75323,3.7
40993,4.7
35780,2.3
24710,3.5
0,3.0
37406,4.0
50767,2.7
51209,2.6
52719,2.7
78855,3.0
37634,2.2
24466,3.6
15393,2.8
23629,3.1
78952,3.3
6647,2.9
50826,2.9
6559,3.0
39814,3.0
78887,2.8
13550,2.9
14851,2.5
21948,3.0
17740,3.3
78976,3.4
78950,2.3
78960,2.7
33506,3.6
61963,2.9
79115,3.1
79123,3.1
28302,2.8
27950,3.6
79185,3.4
79264,2.6
80067,3.5
80081,3.6
41062,3.8
10291,2.7
30451,3.4
48623,3.6
55064,3.4
23762,4.1
79195,3.3
79328,2.8
10981,3.6
46950,2.8
46754,2.6
65770,3.0
65811,2.9
65944,3.0
65983,4.5
45167,3.6
66025,2.7
66151,2.7
66167,3.0
66216,3.7
66481,3.6
66750,4.5
67117,4.0
67126,3.3
65667,3.2
67241,3.2
67516,3.5
67816,4.1
67856,2.8
67911,3.8
68705,2.5
68775,3.7
45452,2.8
45456,3.3
69109,3.3
69112,3.9
69118,3.7
69173,3.3
45488,3.1
67507,3.8
65641,2.7
65565,3.1
65429,2.8
1353,4.4
44828,3.6
62694,3.5
62784,3.9
62805,3.3
62918,2.9
63150,3.2
63154,2.9
63199,3.2
63231,2.9
63416,3.4
63498,2.6
63712,3.3
63752,2.8
63754,2.8
63864,3.0
63972,2.9
64162,2.8
64413,3.3
64484,3.3
64500,3.2
45023,3.6
64788,3.5
64876,3.0
64970,3.1
65202,3.6
65235,2.8
45094,3.6
65395,3.6
69289,3.5
46893,3.0
69414,3.1
69562,3.0
45999,3.1
74582,3.6
74652,3.0
74751,3.7
74856,3.2
75205,3.9
75257,2.5
46110,3.2
75813,3.7
46157,2.9
76014,3.8
76211,3.2
76432,2.7
74242,3.1
46244,2.6
76968,3.9
76996,3.7
77337,4.1
77436,2.9
43199,2.7
77811,3.5
77951,2.8
78157,4.4
78170,3.4
78315,3.2
78692,3.1
78725,3.2
46738,3.1
76928,2.9
74223,3.9
73938,2.9
73397,3.8
45529,2.3
69867,3.1
69963,2.8
70037,3.3
70073,3.8
70498,3.8
70555,2.8
70770,2.2
70775,3.4
70816,2.8
70916,3.3
71097,3.2
71334,3.0
43139,3.7
72003,3.5
72039,3.0
